,title,content
9999995," 여야, 재보선 '시동'…與, 전당원 투표·野 시민공청회",더불어민주당이 내년 4월 보궐선거에서 서울·부산시장 후보를 내기 위한 전 당원 투표에 돌입했습니다.
9999995,"뿔난 임대인들 ""임대주택특별·임대차보호법 헌법소원 낸다""","등록임대사업자와 일반 임대인 등으로 구성된 대한주택임대인협회가 ""정부가 민간임대주택에 관한 특별법을 개정해 민간임대주택 제도를 폐지하고, 주택임대차보호법울 개정한 것은 위헌""이라며 오는 19일 헌법소원심판을 청구하겠다고 14일 밝혔다."
9999995,"황교안, 국민의힘 종로 조직위원장 사퇴",황교안 전 대표가 국민의힘에서 가지고 있던 마지막 당직까지 내려놓은 것으로 확인됐다.
9999995,"'유튜브 등장' 홍남기, '한국형 재정준칙' 비판에 직접 반박",홍남기 부총리는 24일 오전 11시 기획재정부 유튜브 계정에 업로드된 '경제부총리 직강-한국형 재정준칙 마스터하기'라는 제목의 5개의 강의식 영상에 모두 출연해 재정준칙의 필요성과 실효성 등에 대해 설명했다.
9999995,"'삼성 비판자' 민주당 박용진 ""우리 경제 새 질서 시작되길""",여당의 대표적인 '삼성 비판자'로 꼽히는 더불어민주당 박용진 의원은 이건희 회장의 별세를 계기로 삼성과 우리 경제의 새 질서가 시작되길 바란다고 밝혔습니다.
9999995,"중도개발공사, 레고랜드 사업 가용 재원 81억 원 불과","강원도가 도의회에 제출한 행정사무감사 자료를 보면, 지난달 기준, 중도개발공사의 가용재원은 81억 원이었습니다."
9999995,"이재명, ‘경제포기한 문대통령’ 발언 유승민에 “맹목적 비난 말고 대안 제시를”",이재명 경기도지사는 21일 “국민의 힘 유승민 전 의원은 맹목적 비난이 아닌 국민들에게 공감을 얻을 수 있는 경제전문가 다운 대안을 제시해주시길 바란다”고 했다.
9999995,"이중근 부영회장, 지주사·6개계열사 대표이사직 물러나",대법원 실형이 확정된 이중근 부영그룹 회장이 지주사와 6개 계열사의 대표이사·사내이사직에서 물러났다.
9999995,"KAIST, 단백질로 엮어낸 이중나선 개발",한국과학기술원은 바이오및뇌공학과 최명철 교수 연구팀이 나노소재의 기초물질로 활용할 수 있는 단백질을 새롭게 발굴했다고 30일 밝혔다.
9999995,"세입자 ""2년 더"" 집주인 ""제때 못 팔아""…연쇄 갈등",이번 주 전셋값이 5년 반 만에 가장 큰 폭으로 올랐습니다.
9999995, 어제 75명 신규 확진…사흘째 두 자릿수 확진,추석 연휴가 막바지에 접어든 가운데 귀성·귀경객 가운데 코로나19 확진 판정을 받은 환자가 2명 확인됐습니다.
9999995,연평도 수색 현장에서 위령제 지내는 하태경 의원,공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다.
9999995,개천절 ‘코로나19’ 확진자 없어…“방역지침 준수 당부”,개천절인 오늘 전북에서는 코로나19 확진자가 발생하지 않아 누적 확진자는 백29명을 유지했습니다.
