title,content
"[여의도1번지] 여야, 재보선 '시동'…與, 전당원 투표·野 시민공청회","더불어민주당이 내년 4월 보궐선거에서 서울·부산시장 후보를 내기 위한 전 당원 투표에 돌입했습니다. 국민의힘은 부산에서 시장 후보를 찾기 위한 공청회를 열며 본격적인 선거준비에 나섰습니다. 두 분과 정치권 소식 짚어보겠습니다. 배종호 세한대 교수, 장성호 건국대 미래지식교육원장 어서 오세요."
"뿔난 임대인들 ""임대주택특별·임대차보호법 헌법소원 낸다""","등록임대사업자와 일반 임대인 등으로 구성된 대한주택임대인협회가 ""정부가 민간임대주택에 관한 특별법을 개정해 민간임대주택 제도를 폐지하고, 주택임대차보호법울 개정한 것은 위헌""이라며 오는 19일 헌법소원심판을 청구하겠다고 14일 밝혔다. 소송 대리인은 이석연 전 법제처장이 맡는 것으로 알려졌다. 이 전 처장은 지난 2003년 참여정부가 ‘신행정수도의 건설을 위한 특별조치법’을 발의하면서 행정수도 이전을 추진하자 헌법소원을 주도, 2004년 위헌 결정을 이끌어낸 인물이다. 이날 협회는 ""8월 특별법 개정으로 일부 주택의 임대등록이 금지되고 영세 임대사업자 보증보험 강제 가입 제도 등 현실에 맞지 않는 제도가 추가됐다""며 ""이로 인해 청구인들이 세법상 특례를 박탈당하고 직업선택의 자유, 재산권, 평등권 등을 침해당했다""고 주장했다. 이어 ""국토교통부 장관은 취임 직후부터 등록임대사업자에게 세제, 기금, 사회보험 등의 인센티브를 강화하고 자발적 등록이 저조할 경우 임대주택등록을 의무화한다고까지 공언했는데, 특별법을 개정해 국가의 제도를 신뢰하고 임대사업자로 등록한 청구인들에게 부실한 정책을 낸 책임을 전가했다""고 했다. 정부 정책에 대해 협회는 ""관련 세법 개정으로 청구인들은 최고 79.2%에 달하는 양도소득세를 납부해야 하는 도살적 과세 위험에 처하게 됐다""고 지적했다. 계약갱신청구권제, 임대료증액 상한을 골자로 하는 주택임대차보호법 역시 국민의 계약의 자유와 재산권, 사생활의 자유, 거주이전의 자유 등을 침해하는 위헌적 요소를 담고 있다는 것이 협회 측의 주장이다. 협회는 ""이런 정책은 모두 국회가 행정부의 시녀처럼 행정부가 요청하는 입법을 국회 자체의 자율적 논의와 판단과정을 거치지 않고 그대로 통과시켰기 때문에 가능했다""며 ""헌재가 무너진 견제와 균형을 바로 잡아 줄 마지막 보루가 될 것으로 믿는다""고 했다."
"황교안, 국민의힘 종로 조직위원장 사퇴",황교안 전 대표가 국민의힘에서 가지고 있던 마지막 당직까지 내려놓은 것으로 확인됐다. 자신이 출마했던 서울 종로의 조직위원장 자리다. 황교안 전 대표는 총선 참패 직후 당직을 모두 던진다고 했다. 당시 황 전 대표는“우리 당이 국민께 믿음을 드리지 못했기 때문입니다. 모든 당직을 내려놓겠다”고 밝힌 바 있다. 하지만 서울 종로의 당 조직위원장 자리는 최근에 정리가 됐다. 이에 대해 28일 국민의힘 관계자는 “황 전 대표가 최근에 종로구 조직위원장 사퇴 의사를 밝혀왔다”고 말했다. 국민의힘은 현재 원외 지역 당협위원장들을 대상으로 당무감사를진행중인 상태다. 이에 지난 4·15 총선에 이낙연 더불어민주당 대표에 패배한 이후 종로 조직위원장직을 유지하고 있던 황 전 대표는 당무감사를 받기 전 자리를 내려놓게 됐다. 황 전 대표는 최근 당 내 의원들과 만찬을 갖는 등 다시 정계 복귀의 움직임을 보이는 것으로 알려져 이번 사퇴 표명 이후의 행보가 주목된다.
"'유튜브 등장' 홍남기, '한국형 재정준칙' 비판에 직접 반박","홍남기 부총리는 24일 오전 11시 기획재정부 유튜브 계정에 업로드된 '경제부총리 직강-한국형 재정준칙 마스터하기'라는 제목의 5개의 강의식 영상에 모두 출연해 재정준칙의 필요성과 실효성 등에 대해 설명했다. 영상은 △ 1제강 왜 지금 재정준칙이 필요한가요 △ 제2강 재정준칙 산식이 정말 느슨한가요 △ 제3강-재정준칙 예외 장치가 많던데 필요한가요 △ 제4강 왜 3년 유예하고 5년 마다 한도를 재검토하나요 △ 제5강 재정건전성 확보를 위한 정부 대책은 무엇인가요 등으로 구성됐다. 한국형 재정준칙은 정부가 오는 2025년부터 국내총생산(GDP) 대비 국가채무비율을 60% 이내로, 통합재정수지 적자 3% 미만으로 관리하도록 하는 재정준칙을 의미한다. 다만 재정준칙 발표 이후 정치권을 중심으로 실효성에 대해 논란이 불거짐에 따라 영상 콘텐츠를 통해 직접 해명에 나선 것으로 풀이되고 있다. 홍남기 부총리는 이날 영상에서 ""국회와 언론을 중심으로 재정의 역할과 건전성에 대한 관심이 높아지고 있다""며 ""재정준칙 도입 필요성, 엄격성 등에 대한 정확한 팩트를 국민에 알리고자 강의를 마련했다""고 유튜브 출연 배경을 설명했다. 홍남기 부총리는 ""현재는 주요국 대비 재정 건전성이 비교적 양호하지만 앞으로 국가채무 증가 속도가 빠른 점을 고려해 이를 관리할 필요가 있다""며 ""재정 책임성과 재정 건전성 측면이란 두 마리 토끼를 모두 잡는 방향으로 재정준칙을 구상하게 됐다""고 밝혔다. 재정준칙을 둘러싼 비판에 대해서도 목소리를 높였다. 홍남기 부총리는 ""2024년까지 시뮬레이션해봤는데 지금의 전망 수치만 넣어보면 준칙을 다소 상회하는 결과를 고려해볼 때 결코 느슨하다고 할 수 없다""며 ""오히려 비교적 엄격하게 제시됐다고 판단한다""고 반박했다. 재정수지 기준을 관리재정수지 대신 통합재정수지로 사용한 것에 대해선 ""국제적으로 통용되는 수지가 통합재정수지이고, 통합재정수지와 관리재정수지가 거의 같은 방향으로 일정한 격차를 두고 움직인다는 점에서 국제적으로 통용되는 통합재정수지를 기준으로 제시했다""고 말했다. 한편 이날 오후 8시 기준 홍남기 부총리가 출연한 '경제부총리 직강' 영상은 총 3246의 조회수를 기록하고 있다. 가장 높은 조회수를 올린 영상은 제1강(1800회)으로 재정준칙의 필요성을 강조한 영상이다."
"'삼성 비판자' 민주당 박용진 ""우리 경제 새 질서 시작되길""","여당의 대표적인 '삼성 비판자'로 꼽히는 더불어민주당 박용진 의원은 이건희 회장의 별세를 계기로 삼성과 우리 경제의 새 질서가 시작되길 바란다고 밝혔습니다. 박 의원은 SNS를 통해 대한민국은 세계 경제의 리더 국가로서 반칙과 특혜, 불법으로 얼룩진 권위주의적 기업문화와 결별해야 한다며 이같이 말했습니다. 이어, 이재용 부회장에게는 이 회장의 사망으로 막대한 상속세를 내야 한다면서 국민은 기업가들이 세금 낼 것 내고 감당할 것 감당하면서 기업의 경영권을 유지하고 영향력을 확대하기를 바란다고 당부했습니다. 삼성전자 상무 출신인 민주당 양향자 의원은 고 이건희 회장은 일과 후 학업을 병행하려 하는 사원들에게 길을 열어줬고, 사내대학을 만들어 인재 양성에 힘을 기울였다면서 그 뜻을 잊지 않겠다고 강조했습니다."
"중도개발공사, 레고랜드 사업 가용 재원 81억 원 불과","강원도가 도의회에 제출한 행정사무감사 자료를 보면, 지난달(9월) 기준, 중도개발공사의 가용재원은 81억 원이었습니다. 반면, 앞으로 드는 비용은 하중도 기반시설 조성에 347억 원, 기타 비용에 1,031억 원 등 1,378억 원이었습니다. 중도개발공사는 필요한 비용을 주변 용지 매각으로 충당한다는 계획입니다."
"이재명, ‘경제포기한 문대통령’ 발언 유승민에 “맹목적 비난 말고 대안 제시를”","이재명 경기도지사는 21일 “국민의 힘 유승민 전 의원은 맹목적 비난이 아닌 국민들에게 공감을 얻을 수 있는 경제전문가 다운 대안을 제시해주시길 바란다”고 했다. 이 지사는 이날 자신의 페이스북에 올린 글에서 “유 전 의원이 페북에서 문재인 대통령님을 향해 ‘경제위기의 심각성을 알기는 아는가’ ‘경제는 포기한 대통령’이라고 비난했다”면서 이같이 요구했다. 특히 “‘고용참사’ ‘정부, 기업, 가계 모두 최악의 부채’ 등 원색적 비난을 쏟아냈으나, 이는 유 전 의원이 경제 전문가라는 사실을 의심하게 할 정도로 그간 보수언론이 쏟아냈던 가짜뉴스를 그대로 옮기며 국민들을 호도하고 있어 참으로 우려스럽다”고 지적했다. 그러면서 “2016년부터 2019년까지 15세 이상 인구의 고용률은 60.6%에서 60.9%로 개선됐고, 경제활동인구인 15~64세의 고용률은 66.1%에서 66.8%로 개선됐다. 특히 청년층(15~29세) 고용률은 41.7%에서 43.5%로 개선됐고, 청년층 실업률은 9.8%에서 8.9%로 감소했다”고 유 전 의원 주장을 반박했다. 또 “공공일자리 역시 1년에 60세 이상이 55만명 이상 증가하고, 50세 미만은 33만명 이상 씩 감소하는 상황에서 60세 이상 일자리가 증가하는 것은 당연한 결과”라며 “더구나 60세 이상 일자리 중에서도 70~80%는 민간에서 만들어졌다. 그러니 고용의 양이 개선된 것은 분명한 사실”이라고 강조했다. 아울러 “정부와 공기업 및 준 정부기관, 가계의 채무를 모두 합한 부채의 연평균 증가 규모는 이명박·박근혜 정권 시절이 노무현 정부나 문재인 정부보다 크다”며 “특히 가계부채는 박근혜 정부에서 비약적으로 증가했으니 박근혜 경제참모를 자처하신 유 전 의원이나 국민의 힘 당은 반성부터 하시는 것이 더 책임있는 모습일 것”이라고 목소리를 높였다. 이 지사는 “코로나 이후 경제 상황이 나빠졌으나 이는 한국만이 아닌 세계적 현상이고, OECD 성장률 1위로 우리나라가 가장 선방하는 것은 모두가 아는 사실”이라며 “방역을 위한 사회적 거리두기로 경제생태계의 연결망이 급격히 약화된 상황에서 국가재정 투입은 필수였고 유효했다. 재정투입 역시 주요국에 비해 가장 적게 사용하고 있어 여전히 재정건전성은 가장 좋다”고 밝혔다. 또 “국가적 재난 상황에서 가계 소비를 부양하지 않으면 자영업자와 기업이 붕괴할 수밖에 없는 상황이라는 것은 비전문가도 알 수 있는 사실임에도, 유 전 의원이 재난기본소득 등 소비부양책을 ‘포퓰리즘’이라 공격한 것은 현실을 외면한, 비난만을 위한 비난이라고 볼 수밖에 없다”고 말했다. 이어 “빈약한 논리의 대통령 공격은 그저 국힘당 내 본인 입지 다지기 위한 정치꼼수에 불과함을 현명한 국민들께서 너무도 잘 알고 계신다”며 “비난이 아닌, 국민들에게 공감을 얻을 수 있는 경제전문가 다운 대안을 제시해 주시길 바란다. 건설적이고 생산적인 토론이라면 언제든 반갑다”고 제안했다. 앞서 유 전 의원은 지난 19일 자신의 페이스북에 “문 대통령 취임후 지난 3년동안 대통령이 우리 경제에 대해 갖고 있는 인식을 보면 경제는 포기한 대통령임이 분명하다”고 주장했다. 그러면서 “정착 본인이 대통령이 된 후 2017년부터 2019년까지 성적을 보면 혁신성장은 말뿐이었고, 소득주도성장이라는 미신을 신봉하느라 우리경제는 성장동력을 잃고 역사상 최악의 고용참사와 양극화, 그리고 정부, 기업, 가계 모두 최악의 부채에 시달리고 있다”고 비판했다. 또 “올해 들어서 코로나사태가 발생하니 대통령은 경제정책의 모든 실패를 코로나로 덮으려 한다. 마치 자신들은 아무 잘못도 없었는데 오로지 코로나 때문에 경제가 나빠졌다고 국민을 속이려하고 있다”고 지적했다. 이어 “올해 고용통계를 보면 취업자수가 39만2000명 감소했고, 청년층 확장실업률은 25.4%, 실업자는 전 연령층에서 늘어나고 비경제활동인구가 사상최대로 늘어나는 등 일자리 사정은 IMF위기 이후 가장 심각하며 고용이 전반적으로 무너지고 있다”고 했다."
"이중근 부영회장, 지주사·6개계열사 대표이사직 물러나","대법원 실형이 확정된 이중근 부영그룹 회장이 지주사와 6개 계열사의 대표이사·사내이사직에서 물러났다. 29일 부영그룹과 전자공시시스템(DART)에 따르면 이 회장은 지난달 지주사인 부영, 계열사인 부영주택·동광주택·광영토건·오투리조트·인천일보·부영파이낸스대부의 대표이사와 사내이사에서 사임했다. 부영그룹의 지주사·계열사는 총 23개로, 이중근 회장은 이 가운데 19개의 대표이사·사내이사였다. 지주사와 6개 계열사에서 물러난 현재, 이 회장은 12개 계열사의 대표이사와 사내이사직을 유지하고 있다. 부영그룹은 2018년 2월 이 회장의 구속 직후 경영 공백을 최소화하기 위해 같은 해 5월 회장 직무대행 체제를 도입했다. 그룹 관계자는 ""이 회장은 여전히 회장직을 유지하며, 회장 직무대행 체제로 그룹이 운영되는 것은 이전과 변함이 없다""고 설명했다. 부영그룹의 회장 직무대행은 신명호 전 아시아개발은행(ADB) 부총재가 맡고 있다. 앞서 부영그룹은 2018년 회장 직무대행 체제를 도입하면서 신 전 부총재와 함께 이세중 환경재단 명예이사장(법규 총괄), 이용구 전 대림산업 회장(기술·해외부문 총괄)을 회장 직무대행으로 영입한 바 있다. 하지만 이용구 직무대행은 지난해, 이세중 직무대행은 지난달 25일 사임했다. 이에 따라 부영그룹은 당분간 신 직무대행 1인 체제로 운영된다. 부영의 핵심 임원도 최근 무더기 교체됐다. 이중근 회장의 3남인 이성한씨는 지난달 23일 부영엔터테인먼트 대표이사에서 물러났다. 부영엔터테인먼트는 동광주택산업 외 5개 법인 대표를 겸임하는 이창우씨를 새 대표이사에 선임했다. 부영, 부영주택, 동광주택 등에서 대표이사와 사내이사였던 이기홍 사장은 지난 13일 퇴임했다. 오투리조트와 천원종합개발의 이종혁 대표이사는 지난달 23일 물러났다. 한편 실형이 확정된 이 회장은 최근 법원 판결의 부당성을 주장하며 헌법소원을 제기하기도 했다. 헌법재판소는 이 사건을 전원재판부에 회부하고 심리에 들어간 것으로 전해졌다."
"KAIST, 단백질로 엮어낸 이중나선 개발","한국과학기술원(KAIST, 총장 신성철)은 바이오및뇌공학과 최명철 교수 연구팀이 나노소재의 기초물질로 활용할 수 있는 단백질을 새롭게 발굴했다고 30일 밝혔다. 연구팀이 몸속에서 미세소관을 구성하는 '튜불린(Tubulin) 단백질'을 나노공학의 측면에서 재조명해 거둔 성과다. KAIST 바이오및뇌공학과 이준철 박사과정과 송채연 박사(현 아모레퍼시픽 R＆D 센터)가 공동 제1 저자로, 최명철 교수가 교신저자로 참여한 이번 연구결과는 국제학술지 '스몰(Small)'에 지난 9월 17일자 표지논문(Back Cover)으로 게재됐다. 자연계와 산업계의 나노소재들은 놀라울 정도로 크고 복잡한 구조를 가진다. 이 구조들의 기본 형성원리는 작고 단순한 단위체들의 고유 형태가 전체구조를 결정한다는 원리다. 일반적으로 다양한 곡면 구조를 만들려면 서로 다른 모양을 가지는 최소 두 종류의 분자들을 이어 붙여야 한다. 예를 들어, 세포막의 경우 발아와 융합 과정에서 막의 곡률이 역동적으로 변하는데, 이는 형태가 다른 여러 종류의 인지질 분자들이 혼합돼 있어 가능한 특성이다. 최 교수 연구팀은 생명 현상의 중요한 역할을 담당하는 미세소관의 특이한 성질에 주목했다. 바로 미세소관이 성장과 붕괴 과정에 필요한 다양한 곡면을 오직 한 종류의 단위체인 튜불린 단백질만으로 구현하기 때문이다. 미세소관(Microtubule)은 튜불린 단백질로 이루어진 긴 튜브 형태의 나노 구조물이다. 물질 수송의 고속도로, 세포 분열 과정의 분자기계 역할을 수행한다. 연구팀은 튜불린이 수직한 두 방향으로 접히는 독특한 성질에 핵심이 있다고 판단, 튜불린의 형태 변형을 인공적으로 제어하겠다는 점에 아이디어를 얻은 후 곧장 연구를 시작했다. 튜불린 단백질의 접힘을 제어하는 분자스위치를 찾고자 한 것이다. 튜불린이 강한 음전하를 띤 단백질이라는 점을 감안해 양전하 중합체인 폴리라이신(poly-L-lysine)이 미세소관의 구조를 변형하는 과정을 관찰했다. 가속기 X선 산란장치를 이용해 옹스트롱(Å, 100억 분의 1미터)의 정확도로 측정하자 DNA 이중나선 구조의 결정적 증거가 된 로절린드 프랭클린의 ‘포토 51’과 유사한 결과를 확인했다. 포토 51(photo 51)은 로절린드 프랭클린이 촬영한 DNA의 엑스선 회절 이미지로, 프랜시스 크릭과 제임스 왓슨이 DNA 이중나선 구조를 밝히는데 결정적인 증거가 되었다. 이 결과는 튜불린들이 꼭 두 줄씩 길게 늘어선 '튜불린 이중나선' 구조의 형성을 의미하는 것으로, 연구팀은 튜불린을 두 방향으로 접을 수 있는 분자스위치를 찾아낸 것이다. 분자스위치의 크기와 개수를 조절함에 따라, 최 교수 연구팀은 단일 벽 나노튜브에서 이중벽 나노튜브로 변환하거나 이중나선의 간격을 자유자재로 조절이 가능한 성과를 거둘 수 있었다. 연구팀 관계자는 “우리 몸속 세포물질을 그대로 이용하되, 자연의 설계를 뛰어넘어 혁신적인 나노건축물을 구현해낸 것”이라고 의미를 부여했다. 최 교수 연구팀의 이번 연구 결과는 튜불린 단백질을 나노소재의 기초물질로 활용하게 해줄 핵심 전략을 제시했다는 점에서 의미가 있다. 최명철 교수는 ""이 논문을 계기로 튜불린을 나노소재로 활용하는 연구들이 본격적으로 시작될 것ˮ 이라면서 ""새로운 바이오-나노기술의 특이점이 될 선도적 연구ˮ라고 이번 연구에 대한 의미를 부여했다. 최 교수는 이어 ""나노미터 크기의 광학·전기·의료 소재를 개발하는 플랫폼으로는 물론 모터 단백질 키네신과 결합해 분자기계를 개발하는 등 활용 가능성이 무궁무진하다ˮ고 강조하면서 ""향후 다양한 형태와 특성을 가진 나노소재를 만들어낼 '튜불린 나노공학'의 발전 기반 조성과 함께 이번 연구를 통해 발견한 분자스위치는 알츠하이머병 등 뇌질환의 새로운 치료 전략으로 활용될 것ˮ이라고 기대감을 내비쳤다. 앞서 연구팀은 이 분자스위치를 이용한 튜불린 나노소재의 의료적 가치를 입증한 바 있다. 튜불린 나노튜브를 항암 약물의 일종인 미세소관 표적 치료제의 만능 전달체로 활용할 수 있다는 결과를 지난 8월 20일자 '어드밴스드 머티리얼스(Advanced Materials)'지에 표지논문으로 발표했다. 미국 산타바바라 캘리포니아대와 공동으로 진행된 이번 연구는 한국연구재단 (중견연구, 방사선기술)과 한국원자력연구원·KAIST의 지원을 받았으며, 포항 방사광 가속기의 소각 X선 산란 장치를 이용해 실험을 수행했다."
"세입자 ""2년 더"" 집주인 ""제때 못 팔아""…연쇄 갈등","이번 주 전셋값이 5년 반 만에 가장 큰 폭으로 올랐습니다. 수요는 많은데 매물은 부족하기 때문이죠. 이러자 이사를 못 가고 계약갱신청구권을 써서 원래 살던 집에 사는 세입자가 늘고 있는데요. 집주인은 집주인대로, 집을 제때 팔지 못해 세금 부담이 커졌다고 불만을 터뜨립니다. 전세난이 부른 악순환입니다. 정아람 기자가 취재했습니다. 2주택자인 정모 씨는 올여름 전세 놓은 아파트 한 채를 팔기로 했습니다. 가을까지 팔아야 일시적 2주택자로 인정돼 양도소득세 비과세 혜택을 받을 수 있기 때문입니다. 세입자도 이사하겠다고 약속했지만, 임대차 3법이 시행되자 사정이 달라졌습니다. 이사 갈 집을 찾지 못한 세입자가 나갈 수 없다고 한 겁니다. 계약갱신청구권을 행사하겠다는 얘기였습니다. 그래도 매물을 내놓으려 했지만 전세를 낀 집이라는 이유로 사려는 사람이 나타나지 않았습니다. 그사이 비과세 기간이 지났고, 이젠 집을 팔면 수억 원의 양도세를 내게 됐습니다. 실거주하려는 집주인과 세입자 사이에 갈등도 늘었습니다. 세입자가 집주인이 실거주한다는 걸 믿지 못하겠다며 나가지 않아 갈등이 생기는 일도 있습니다. 혼란이 계속되자 홍남기 부총리는 ""전세 시장을 안정시킬 추가 대책이 있는지 관계부처와 함께 고민해보고 있다""고 밝혔습니다."
